F:\ндуб1\Medical-Image-Fusion-master\baseline\liuYu\NSST_PAPCNN_Fusion\result\pet-mr\
en:	4.233531	4.341890	4.334514	4.350423	4.305701	4.427362	4.661638	4.899371	5.066092	5.216582	5.209520	5.274551	5.294254	5.284742	5.295435	5.187296	5.019964	4.833502	4.602839	4.344191	4.074632	3.702968	3.181305	2.484593	avg:	4.567787
mi:	8.467061	8.683779	8.669027	8.700846	8.611402	8.854724	9.323276	9.798743	10.132184	10.433165	10.419040	10.549102	10.588508	10.569485	10.590869	10.374591	10.039929	9.667004	9.205678	8.688382	8.149263	7.405935	6.362611	4.969186	avg:	9.135575
qabf:	1.730827	1.725274	1.675613	1.666962	1.668734	1.626894	1.555734	1.478288	1.424080	1.391508	1.335747	1.328266	1.329230	1.323370	1.322599	1.331363	1.295062	1.278225	1.244117	1.226517	1.235581	1.220556	1.270155	1.307655	avg:	1.416348
fmi_pixel:	0.904438	0.902826	0.893759	0.891080	0.892499	0.888012	0.878642	0.888776	0.888499	0.890122	0.891970	0.890624	0.885994	0.884134	0.887934	0.891085	0.893729	0.885812	0.886529	0.873160	0.866552	0.869531	0.880166	0.895299	avg:	0.887549
fmi_dct:	0.545399	0.530600	0.522147	0.512463	0.512306	0.510783	0.500069	0.495091	0.489950	0.489455	0.488747	0.483010	0.487818	0.481560	0.476364	0.475398	0.472211	0.466200	0.466231	0.458681	0.461717	0.469495	0.473871	0.497203	avg:	0.490282
fmi_w:	0.537455	0.554439	0.548151	0.548557	0.544664	0.534324	0.538902	0.520558	0.514606	0.503156	0.492907	0.475603	0.479035	0.452341	0.408341	0.396988	0.374524	0.366682	0.361814	0.394178	0.388804	0.416389	0.488097	0.620966	avg:	0.477562
nabf:	0.010872	0.022379	0.032634	0.037769	0.045399	0.047650	0.056005	0.069036	0.083100	0.091916	0.097015	0.100318	0.106002	0.115456	0.117935	0.128324	0.127689	0.114908	0.098122	0.085156	0.089681	0.079866	0.061503	0.043802	avg:	0.077606
scd:	1.730654	1.635440	1.904471	1.912011	1.899545	1.871040	1.814248	1.765993	1.714058	1.676122	1.657662	1.647455	1.570717	1.559754	1.591045	1.571943	1.631568	1.662509	1.628786	1.661503	1.726201	1.791656	1.864283	1.909881	avg:	1.724939
ssim:	0.736239	0.739328	0.742977	0.744189	0.749612	0.747698	0.745659	0.749148	0.754775	0.746478	0.753060	0.751948	0.757802	0.757245	0.749619	0.755565	0.756469	0.761821	0.781934	0.793713	0.799766	0.823489	0.846472	0.881511	avg:	0.767772
ms_ssim:	0.999207	0.995184	0.991954	0.991495	0.990118	0.988380	0.978626	0.973840	0.970108	0.969098	0.960620	0.954677	0.954249	0.947363	0.940321	0.925485	0.903779	0.905451	0.939552	0.959319	0.958603	0.965883	0.971593	0.979528	avg:	0.963101
viff:	0.940730	0.896850	0.821243	0.796525	0.777209	0.690054	0.637380	0.578705	0.596212	0.563828	0.529816	0.521529	0.536532	0.510859	0.495081	0.487816	0.434955	0.410435	0.414228	0.467490	0.441560	0.467345	0.484896	0.485174	avg:	0.582769
ChenHmrtric:	9.658024	3.069136	10.068348	19.247372	40.128184	38.409509	48.411311	152.205625	210.001795	257.205086	286.059858	335.458177	311.500038	334.984125	382.253025	338.382609	366.065148	340.854821	308.656978	275.910236	429.913074	402.777277	569.696115	387.968227	avg:	244.120171
ChenHVS:	0.671467	0.671790	0.700990	0.715465	0.725114	0.716976	0.715353	0.703468	0.706028	0.696346	0.682549	0.671570	0.680881	0.681513	0.654442	0.659778	0.639335	0.640039	0.656465	0.681328	0.687643	0.696595	0.728521	0.745870	avg:	0.688730
Ag:	11.206758	10.781029	10.109626	10.109579	10.416730	10.508769	10.105720	9.572268	9.469747	9.458114	9.080085	8.795851	8.796430	8.926275	8.430177	7.862458	7.509782	7.312784	6.897226	6.692018	6.140460	5.133305	4.079688	3.145369	avg:	8.355844
Sf:	36.584894	36.224990	34.168800	34.998519	37.049300	36.554089	34.270859	33.111121	33.613942	33.606914	32.092473	31.123491	31.340669	31.319448	29.832840	28.097153	26.806387	25.814778	24.237646	23.193577	21.419076	18.665097	16.352401	14.290067	avg:	29.365356
Psnr:	23.038826	20.689357	15.616174	14.552865	14.226330	14.276537	14.331597	13.905869	13.919399	14.297973	14.541780	14.158521	14.273172	14.114986	14.213605	14.944762	14.917747	14.469746	14.732440	14.875992	14.600227	14.980509	15.092124	17.134299	avg:	15.246035
