F:\ндуб1\Medical-Image-Fusion-master\baseline\baseline\GFF_1.0\result\multi-focus\
en:	7.318896	7.032078	7.040439	7.273666	7.547793	7.429112	7.474511	7.379174	7.011512	7.319449	7.539555	7.549386	7.836087	7.721796	7.711364	7.686909	7.630151	7.636876	7.743730	7.464095	7.615040	7.562820	7.666416	7.362912	7.557473	7.182356	7.124085	7.723483	avg:	7.469327
mi:	14.637792	14.064157	14.080879	14.547333	15.095587	14.858224	14.949022	14.758347	14.023024	14.638899	15.079110	15.098772	15.672174	15.443592	15.422727	15.373819	15.260302	15.273752	15.487461	14.928190	15.230081	15.125641	15.332832	14.725824	15.114947	14.364712	14.248170	15.446966	avg:	14.938655
qabf:	1.149083	1.198249	1.219862	1.216367	1.350469	1.176461	1.393729	1.221710	1.012422	0.956418	0.906387	1.014498	1.231026	1.065986	0.977603	1.201326	1.152555	1.219993	1.299601	1.146296	1.257817	1.248735	1.120060	1.177722	1.156358	0.830357	1.167797	1.101757	avg:	1.148952
fmi_pixel:	0.891885	0.911283	0.897111	0.885711	0.846156	0.874989	0.920924	0.839591	0.937965	0.874420	0.881630	0.915909	0.888927	0.898245	0.885690	0.923410	0.892713	0.848145	0.893644	0.894357	0.855533	0.880522	0.947125	0.919725	0.894425	0.945813	0.909198	0.931188	avg:	0.895937
fmi_dct:	0.389159	0.463784	0.421858	0.411407	0.371675	0.434343	0.607353	0.527451	0.391955	0.416049	0.389537	0.416065	0.427523	0.395470	0.388473	0.465233	0.400087	0.422032	0.458205	0.412671	0.430789	0.400119	0.490428	0.402632	0.448723	0.380892	0.385219	0.383232	avg:	0.426156
fmi_w:	0.546815	0.558850	0.560867	0.567257	0.524590	0.583848	0.858557	0.828078	0.581250	0.579852	0.562175	0.572843	0.549473	0.546550	0.554281	0.634034	0.573575	0.614208	0.576434	0.583714	0.563947	0.558871	0.628659	0.549961	0.541623	0.572149	0.570494	0.540411	avg:	0.588692
nabf:	0.022425	0.010089	0.021925	0.015926	0.018515	0.012670	0.000114	0.001841	0.014121	0.006619	0.017866	0.013673	0.018796	0.028606	0.018839	0.014377	0.017556	0.017570	0.015598	0.013219	0.029906	0.034767	0.001893	0.016333	0.019367	0.006223	0.014483	0.030768	avg:	0.016217
scd:	0.371308	0.420549	0.548197	0.489714	0.620212	0.537351	0.552323	0.444303	0.688838	0.426539	0.539161	0.421863	0.629133	0.405574	0.481659	0.512752	0.707662	0.736725	0.610778	0.620154	0.783677	0.577910	0.258664	0.437736	0.833207	0.213272	0.608555	0.476194	avg:	0.534072
ssim:	0.888751	0.907216	0.914245	0.863342	0.774461	0.887002	0.968697	0.935739	0.874065	0.886522	0.829972	0.888821	0.860163	0.839223	0.846660	0.888920	0.736466	0.794571	0.823441	0.843489	0.658751	0.815044	0.920806	0.910391	0.796633	0.929780	0.840345	0.872742	avg:	0.857009
ms_ssim:	0.993623	0.994253	0.995195	0.990884	0.991371	0.994527	0.999394	0.999290	0.995619	0.996866	0.990166	0.995693	0.990171	0.993099	0.995259	0.997021	0.994037	0.998047	0.995522	0.993972	0.995840	0.994161	0.998106	0.996619	0.995139	0.996333	0.995658	0.987309	avg:	0.994756
viff:	0.938148	0.946622	0.934314	0.909555	0.873571	0.940005	0.999345	0.997246	0.965836	0.974971	0.909399	0.938019	0.917179	0.911359	0.956060	0.969124	0.928255	0.959551	0.947938	0.935586	0.935702	0.934984	0.987883	0.967019	0.948811	0.950239	0.948384	0.898238	avg:	0.943691
ChenHmrtric:	64.844195	107.543995	9.344786	16.198590	69.724268	48.005045	5.205574	12.344037	4.066272	4.306990	57.225695	9.831488	24.698473	8.031879	13.732858	9.877328	5.567535	19.605529	12.085657	6.163567	17.358796	6.905816	3.042927	46.333318	24.969278	7.256696	28.450783	10.884533	avg:	23.343068
ChenHVS:	0.766638	0.739628	0.729044	0.741356	0.753815	0.752890	0.922714	0.895021	0.807509	0.719247	0.775456	0.786093	0.750553	0.787972	0.782369	0.846469	0.847827	0.853808	0.809188	0.782984	0.856082	0.774523	0.849811	0.754921	0.817757	0.810188	0.786247	0.750053	avg:	0.794649
Ag:	5.600697	4.086102	5.123356	6.536268	12.430605	7.560064	6.951161	9.303299	5.133878	4.984123	5.121841	4.581114	6.227800	5.809023	6.021232	9.427451	9.048781	14.324261	8.962382	7.672001	12.216929	6.437267	5.766499	4.445165	7.416396	3.011005	5.349767	3.616713	avg:	6.898756
Sf:	16.068436	15.501218	18.740979	21.897372	38.599201	22.775001	24.468241	24.473573	14.814098	14.111286	14.360299	15.292807	17.249714	18.192167	15.148237	26.526214	26.223290	31.918992	29.859072	23.808590	27.913358	20.596766	16.930581	13.390489	20.153642	9.504834	17.148832	12.127792	avg:	20.278396
Psnr:	28.382781	28.766841	28.875613	27.536690	22.108532	26.949446	32.474752	28.900920	28.912913	29.401982	26.964517	28.936386	26.249653	26.040805	27.932514	28.451201	23.171998	24.606474	25.358258	25.299688	22.475072	24.971691	34.249824	30.731211	26.937953	33.589929	24.398663	26.845247	avg:	27.482913
